MATERIAL NUMBER,Description,MT,MT+PVN
0120468055,ALTERNATOR,620.98,751.39
0120468066,ALTERNATOR,556.50,673.37
0120468088,ALTERNATOR,1078.40,1304.86
0120468105,ALTERNATOR,920.12,1113.34
0120468107,ALTERNATOR,491.16,594.30
0120468113,ALTERNATOR,561.64,679.59
0120468114,ALTERNATOR,499.88,604.86
0120468124,ALTERNATOR,404.83,489.84
0120468125,ALTERNATOR,690.61,835.63
0120468131,ALTERNATOR,478.77,579.31
0120468132,ALTERNATOR,604.58,731.54
0120468134,ALTERNATOR,1286.09,1556.17
0120468135,ALTERNATOR,585.50,708.45
0120468136,ALTERNATOR,1275.53,1543.40
0120468137,ALTERNATOR,504.99,611.04
0120468140,ALTERNATOR,711.03,860.35
0120468144,ALTERNATOR,546.58,661.36
0120468145,ALTERNATOR,621.36,751.85
0120468146,ALTERNATOR,1108.91,1341.78
0120468154,ALTERNATOR,519.29,628.34
0120468155,ALTERNATOR,1963.18,2375.44
0120468161,ALTERNATOR,1384.67,1675.45
0120468162,ALTERNATOR,567.18,686.29
0120469001,ALTERNATOR,614.50,743.54
0120469014,ALTERNATOR,487.62,590.02
0120469024,ALTERNATOR,596.80,722.13
0120469030,ALTERNATOR,466.26,564.17
0120469032,ALTERNATOR,444.71,538.10
0120469033,ALTERNATOR,1325.98,1604.44
0120469036,ALTERNATOR,651.13,787.86
0120469037,ALTERNATOR,753.00,911.13
0120469040,ALTERNATOR,1361.19,1647.03
0120469043,ALTERNATOR,1053.74,1275.03
0120469048,ALTERNATOR,477.52,577.80
0120469101,ALTERNATOR,1294.83,1566.74
0120469102,ALTERNATOR,446.80,540.62
0120469115,ALTERNATOR,403.50,488.23
0120469119,ALTERNATOR,820.62,992.95
0120469120,ALTERNATOR,583.39,705.90
0120469521,ALTERNATOR,489.91,592.79
0120469532,ALTERNATOR,996.25,1205.47
0120469559,ALTERNATOR,579.68,701.42
0120469562,ALTERNATOR,972.78,1177.06
0120469579,ALTERNATOR,1274.36,1541.97
0120469585,ALTERNATOR,547.53,662.51
0120469643,ALTERNATOR,465.31,563.03
0120469646,ALTERNATOR,539.33,652.59
0120469687,ALTERNATOR,1732.00,2095.72
0120469734,ALTERNATOR,432.12,522.86
0120469749,ALTERNATOR,971.61,1175.64
0120469797,ALTERNATOR,715.24,865.45
0120469807,ALTERNATOR,795.60,962.68
0120469850,ALTERNATOR,1090.13,1319.05
0120469853,ALTERNATOR,1056.10,1277.88
0120469855,ALTERNATOR,557.26,674.29
0120469857,ALTERNATOR,1139.40,1378.68
0120469891,ALTERNATOR,497.92,602.49
0120469920,ALTERNATOR,487.24,589.56
0120469924,ALTERNATOR,408.46,494.24
0120469945,ALTERNATOR,324.32,392.43
0120469947,ALTERNATOR,623.45,754.38
0120469982,ALTERNATOR,363.24,439.52
0120484001,ALTERNATOR,425.05,514.31
0120484009,ALTERNATOR,465.85,563.68
0120484011,ALTERNATOR,374.50,453.15
